datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.0241,1.0244,1.0241,1.0244,8
2016-07-01 00:05:00,1.0244,1.0245,1.0242,1.0245,9
2016-07-01 00:10:00,1.0243,1.0247,1.0243,1.0247,12
2016-07-01 00:15:00,1.0247,1.0247,1.0243,1.0244,10
2016-07-01 00:20:00,1.0242,1.0247,1.0242,1.0247,12
2016-07-01 00:25:00,1.0247,1.0247,1.0243,1.0245,9
2016-07-01 00:30:00,1.0243,1.0245,1.0243,1.0245,13
2016-07-01 00:35:00,1.0245,1.0245,1.0242,1.0245,10
2016-07-01 00:40:00,1.0243,1.0245,1.024,1.0243,13
2016-07-01 00:45:00,1.0243,1.0243,1.024,1.0243,9
2016-07-01 00:50:00,1.0241,1.0247,1.0239,1.0243,12
2016-07-01 00:55:00,1.0243,1.0253,1.0238,1.0238,10
2016-07-01 01:00:00,1.0225,1.0239,1.0225,1.0238,12
2016-07-01 01:05:00,1.0238,1.0238,1.0237,1.0238,12
2016-07-01 01:10:00,1.0238,1.024,1.0237,1.024,13
2016-07-01 01:15:00,1.024,1.024,1.0237,1.024,9
2016-07-01 01:20:00,1.0238,1.0242,1.0238,1.0242,11
2016-07-01 01:25:00,1.0243,1.0243,1.0238,1.0241,12
2016-07-01 01:30:00,1.0237,1.024,1.0236,1.0239,13
2016-07-01 01:35:00,1.0238,1.0238,1.023,1.0236,12
2016-07-01 01:40:00,1.0234,1.024,1.0234,1.0238,12
2016-07-01 01:45:00,1.0238,1.0239,1.0235,1.0239,9
2016-07-01 01:50:00,1.0237,1.0238,1.0234,1.0235,7
2016-07-01 01:55:00,1.0235,1.0235,1.0233,1.0235,11
2016-07-01 02:00:00,1.0232,1.024,1.0232,1.024,13
2016-07-01 02:05:00,1.024,1.024,1.0233,1.0238,10
2016-07-01 02:10:00,1.0235,1.024,1.0235,1.0239,13
2016-07-01 02:15:00,1.0238,1.0239,1.0236,1.0239,9
2016-07-01 02:20:00,1.0236,1.024,1.0236,1.0239,13
2016-07-01 02:25:00,1.0239,1.0239,1.0236,1.0239,11
2016-07-01 02:30:00,1.0236,1.0241,1.0236,1.0241,13
2016-07-01 02:35:00,1.0241,1.0242,1.0232,1.0242,9
2016-07-01 02:40:00,1.0238,1.0242,1.0238,1.0242,13
2016-07-01 02:45:00,1.0242,1.0242,1.0238,1.0241,12
2016-07-01 02:50:00,1.0238,1.0241,1.0237,1.024,11
2016-07-01 02:55:00,1.0241,1.0241,1.0236,1.024,12
2016-07-01 03:00:00,1.0238,1.0239,1.0234,1.0237,13
2016-07-01 03:05:00,1.0237,1.024,1.0235,1.0239,11
2016-07-01 03:10:00,1.0237,1.024,1.0236,1.024,13
2016-07-01 03:15:00,1.024,1.0246,1.0238,1.0246,12
2016-07-01 03:20:00,1.0243,1.0247,1.0243,1.0245,12
2016-07-01 03:25:00,1.0246,1.0246,1.0242,1.0245,10
2016-07-01 03:30:00,1.0242,1.0244,1.0241,1.0244,13
2016-07-01 03:35:00,1.0245,1.0246,1.0242,1.0245,11
2016-07-01 03:40:00,1.0242,1.0245,1.024,1.0243,10
2016-07-01 03:45:00,1.0243,1.0246,1.024,1.0244,11
2016-07-01 03:50:00,1.0242,1.0245,1.0238,1.0245,11
2016-07-01 03:55:00,1.0247,1.0248,1.0243,1.0245,10
2016-07-01 04:00:00,1.0242,1.0246,1.0242,1.0246,12
2016-07-01 04:05:00,1.0246,1.0246,1.0243,1.0246,10
2016-07-01 04:10:00,1.0243,1.0246,1.0243,1.0246,10
2016-07-01 04:15:00,1.0246,1.0246,1.0243,1.0245,11
2016-07-01 04:20:00,1.0242,1.0245,1.0242,1.0245,9
2016-07-01 04:25:00,1.0245,1.0245,1.0242,1.0245,10
2016-07-01 04:30:00,1.0242,1.0246,1.0242,1.0245,12
2016-07-01 04:35:00,1.0245,1.0245,1.0241,1.0245,11
2016-07-01 04:40:00,1.0242,1.0245,1.0242,1.0245,10
2016-07-01 04:45:00,1.0247,1.0249,1.0244,1.0246,10
2016-07-01 04:50:00,1.0243,1.0246,1.0239,1.0245,11
2016-07-01 04:55:00,1.0246,1.0246,1.0242,1.0245,10
2016-07-01 05:00:00,1.0242,1.0246,1.0242,1.0245,9
2016-07-01 05:05:00,1.0245,1.0245,1.0241,1.0245,6
2016-07-01 05:10:00,1.0241,1.0245,1.0241,1.0244,10
2016-07-01 05:15:00,1.0245,1.0245,1.0242,1.0245,11
2016-07-01 05:20:00,1.0242,1.0245,1.0241,1.0241,7
2016-07-01 05:25:00,1.0245,1.0245,1.0241,1.0244,7
2016-07-01 05:30:00,1.0241,1.0245,1.0241,1.0245,12
2016-07-01 05:35:00,1.0245,1.0245,1.0241,1.0245,9
2016-07-01 05:40:00,1.0241,1.0245,1.0239,1.0242,10
2016-07-01 05:45:00,1.0243,1.0243,1.0239,1.0242,8
2016-07-01 05:50:00,1.024,1.0242,1.0239,1.0242,10
2016-07-01 05:55:00,1.0242,1.0244,1.0239,1.0244,8
2016-07-01 06:00:00,1.0242,1.0245,1.0241,1.0245,10
2016-07-01 06:05:00,1.0245,1.0245,1.0239,1.0244,11
2016-07-01 06:10:00,1.0241,1.0244,1.0239,1.0244,9
2016-07-01 06:15:00,1.0244,1.0244,1.024,1.0243,11
2016-07-01 06:20:00,1.0239,1.0243,1.0238,1.0238,8
2016-07-01 06:25:00,1.0239,1.0242,1.0239,1.024,10
2016-07-01 06:30:00,1.0236,1.0242,1.0236,1.0242,9
2016-07-01 06:35:00,1.024,1.0241,1.0236,1.0241,10
2016-07-01 06:40:00,1.0237,1.0241,1.0233,1.0236,12
2016-07-01 06:45:00,1.0236,1.0239,1.0232,1.0239,11
2016-07-01 06:50:00,1.0236,1.0239,1.0235,1.0238,12
2016-07-01 06:55:00,1.0238,1.0238,1.0234,1.0237,11
2016-07-01 07:00:00,1.0234,1.0237,1.0232,1.0236,12
2016-07-01 07:05:00,1.0237,1.0237,1.0228,1.0237,7
2016-07-01 07:10:00,1.0233,1.0237,1.0233,1.0236,7
2016-07-01 07:15:00,1.0236,1.0236,1.0232,1.0236,8
2016-07-01 07:20:00,1.0246,1.0246,1.0229,1.0236,10
2016-07-01 07:25:00,1.0236,1.0237,1.0232,1.0237,10
2016-07-01 07:30:00,1.0233,1.0238,1.0233,1.0238,11
2016-07-01 07:35:00,1.0238,1.024,1.0236,1.024,11
2016-07-01 07:40:00,1.0236,1.024,1.0236,1.0239,10
2016-07-01 07:45:00,1.024,1.024,1.0236,1.024,6
2016-07-01 07:50:00,1.0237,1.0241,1.0237,1.0241,13
2016-07-01 07:55:00,1.0241,1.0241,1.0236,1.0239,12
2016-07-01 08:00:00,1.0236,1.024,1.0236,1.0239,12
2016-07-01 08:05:00,1.024,1.024,1.0236,1.024,7
2016-07-01 08:10:00,1.0236,1.0242,1.0236,1.0239,10
2016-07-01 08:15:00,1.0239,1.024,1.0236,1.0237,10
2016-07-01 08:20:00,1.0233,1.0236,1.0231,1.0234,10
2016-07-01 08:25:00,1.0234,1.0234,1.023,1.0231,7
2016-07-01 08:30:00,1.023,1.0235,1.023,1.0235,11
2016-07-01 08:35:00,1.0235,1.0235,1.0231,1.0234,11
2016-07-01 08:40:00,1.0232,1.0238,1.0232,1.0238,13
2016-07-01 08:45:00,1.0238,1.0238,1.0233,1.0238,10
2016-07-01 08:50:00,1.0234,1.0238,1.0233,1.0237,12
2016-07-01 08:55:00,1.0235,1.0238,1.0234,1.0236,12
2016-07-01 09:00:00,1.0231,1.0236,1.0228,1.0231,12
2016-07-01 09:05:00,1.0231,1.0234,1.0228,1.0233,11
2016-07-01 09:10:00,1.023,1.0236,1.023,1.0231,12
2016-07-01 09:15:00,1.023,1.023,1.0225,1.0229,13
2016-07-01 09:20:00,1.0225,1.023,1.022,1.0226,13
2016-07-01 09:25:00,1.0227,1.0231,1.0223,1.023,11
2016-07-01 09:30:00,1.0226,1.0233,1.0226,1.0233,12
2016-07-01 09:35:00,1.0232,1.0234,1.0227,1.0234,12
2016-07-01 09:40:00,1.0231,1.0235,1.0231,1.0235,13
2016-07-01 09:45:00,1.0235,1.0239,1.0232,1.0238,12
2016-07-01 09:50:00,1.0235,1.0238,1.0235,1.0237,13
2016-07-01 09:55:00,1.0237,1.0237,1.0233,1.0235,12
2016-07-01 10:00:00,1.0232,1.0238,1.0232,1.0238,13
2016-07-01 10:05:00,1.0238,1.024,1.0236,1.0239,11
